service_id,date,exception_type
6c4bdab144746c0fbf55c60d40,20250426,1
625cdae702743e,20250426,1
624ddab200707616a612,20250426,1
6350da9278,20250426,1
684bdae702747664bd,20250426,1
6c4bdab144746c0fbe55c60d40,20250427,1
625cdae602743f,20250427,1
624ddab200707617a612,20250427,1
6350da9278,20250427,1
684bdae602747664bd,20250427,1
6c4bdab144746c0fbb55c60d40,20250428,1
625cdae302743f,20250428,1
624ddab200707612a612,20250428,1
6350da9273,20250428,1
684bdae302747664,20250428,1
6c4bdab144746c0fbb55c60d40,20250429,1
625cdae302743f,20250429,1
624ddab200707612a612,20250429,1
6350da9273,20250429,1
684bdae302747664,20250429,1
6c4bdab144746c0fba55c60d40,20250430,1
625cdae202743f,20250430,1
624ddab200707612a612,20250430,1
6350da9273,20250430,1
684bdae202747664,20250430,1
6c4bdab144746c0fbe55c60d40,20250501,1
625cdae602743f,20250501,1
624ddab200707617a612,20250501,1
6350da9273,20250501,1
684bdae602747664bd,20250501,1
6c4bdab144746c0fba55c60d40,20250502,1
625cdae202743f,20250502,1
624ddab200707613a612,20250502,1
6350da9273,20250502,1
684bdae202747664,20250502,1
6c4bdab144746c0fbf55c60d40,20250503,1
625cdae702743e,20250503,1
624ddab200707616a612,20250503,1
6350da9278,20250503,1
684bdae702747664bd,20250503,1
6c4bdab144746c0fbe55c60d40,20250504,1
625cdae602743f,20250504,1
624ddab200707617a612,20250504,1
6350da9278,20250504,1
684bdae602747664bd,20250504,1
6c4bdab144746c0fbb55c60d40,20250505,1
625cdae302743f,20250505,1
624ddab200707612a612,20250505,1
6350da9273,20250505,1
684bdae302747664,20250505,1
6c4bdab144746c0fbb55c60d40,20250506,1
625cdae302743f,20250506,1
624ddab200707612a612,20250506,1
6350da9273,20250506,1
684bdae302747664,20250506,1
6c4bdab144746c0fbb55c60d40,20250507,1
625cdae302743f,20250507,1
624ddab200707612a612,20250507,1
6350da9273,20250507,1
684bdae302747664,20250507,1
6c4bdab144746c0fbb55c60d40,20250508,1
625cdae302743f,20250508,1
624ddab200707612a612,20250508,1
6350da9273,20250508,1
684bdae302747664,20250508,1
6c4bdab144746c0fba55c60d40,20250509,1
625cdae202743f,20250509,1
624ddab200707613a612,20250509,1
6350da9273,20250509,1
684bdae202747664,20250509,1
6c4bdab144746c0fbf55c60d40,20250510,1
625cdae702743e,20250510,1
624ddab200707616a612,20250510,1
6350da9278,20250510,1
684bdae702747664bd,20250510,1
6c4bdab144746c0fbe55c60d40,20250511,1
625cdae602743f,20250511,1
624ddab200707617a612,20250511,1
6350da9278,20250511,1
684bdae602747664bd,20250511,1
6c4bdab144746c0fbb55c60d40,20250512,1
625cdae302743f,20250512,1
624ddab200707617a612,20250512,1
6350da9273,20250512,1
684bdae302747664,20250512,1
6c4bdab144746c0fbb55c60d40,20250513,1
625cdae302743f,20250513,1
624ddab200707612a612,20250513,1
6350da9273,20250513,1
684bdae302747664,20250513,1
6c4bdab144746c0fbb55c60d40,20250514,1
625cdae302743f,20250514,1
624ddab200707612a612,20250514,1
6350da9273,20250514,1
684bdae302747664,20250514,1
6c4bdab144746c0fbb55c60d40,20250515,1
625cdae302743f,20250515,1
624ddab200707612a612,20250515,1
6350da9273,20250515,1
684bdae302747664,20250515,1
6c4bdab144746c0fba55c60d40,20250516,1
625cdae202743f,20250516,1
624ddab200707613a612,20250516,1
6350da9273,20250516,1
684bdae202747664,20250516,1
6c4bdab144746c0fbf55c60d40,20250517,1
625cdae702743e,20250517,1
624ddab200707616a612,20250517,1
6350da9278,20250517,1
684bdae702747664bd,20250517,1
6c4bdab144746c0fbe55c60d40,20250518,1
625cdae602743f,20250518,1
624ddab200707617a612,20250518,1
6350da9278,20250518,1
684bdae602747664bd,20250518,1
6c4bdab144746c0fbb55c60d40,20250519,1
625cdae302743f,20250519,1
624ddab200707612a612,20250519,1
6350da9273,20250519,1
684bdae302747664,20250519,1
6c4bdab144746c0fbb55c60d40,20250520,1
625cdae302743f,20250520,1
624ddab200707612a612,20250520,1
6350da9273,20250520,1
684bdae302747664,20250520,1
6c4bdab144746c0fbb55c60d40,20250521,1
625cdae302743f,20250521,1
624ddab200707612a612,20250521,1
6350da9273,20250521,1
684bdae302747664,20250521,1
6c4bdab144746c0fbb55c60d40,20250522,1
625cdae302743f,20250522,1
624ddab200707612a612,20250522,1
6350da9273,20250522,1
684bdae302747664,20250522,1
6c4bdab144746c0fba55c60d40,20250523,1
625cdae202743f,20250523,1
624ddab200707613a612,20250523,1
6350da9273,20250523,1
684bdae202747664,20250523,1
6c4bdab144746c0fbf55c60d40,20250524,1
625cdae702743e,20250524,1
624ddab200707616a612,20250524,1
6350da9278,20250524,1
684bdae702747664bd,20250524,1
6c4bdab144746c0fbe55c60d40,20250525,1
625cdae602743f,20250525,1
624ddab200707617a612,20250525,1
6350da9278,20250525,1
684bdae602747664bd,20250525,1
6c4bdab144746c0fbb55c60d40,20250526,1
625cdae302743f,20250526,1
